BEA_Summary,BEA_Detail,DnB_Share_RoUS,X_Share_US,alpha_RoUS,RoUS_Share_Used,DetailedOutput_CA_RoUS,D_cal_RoUS,RoUS_Direct_Emissions,RoUS_Output_Weight,RoUS_Emissions_Weight
331,331200,0.10638396254992485,0.10298524872586318,0.2,0.10366499149067553,32496428207.00081,0.09905187718938932,3218832215.853651,0.10366499149067553,0.02857749523077951
331,331313,0.05924842347489594,0.012512561912281962,0.2,0.02185973422480476,6852489675.112569,0.5310427204818462,3638964759.145541,0.02185973422480476,0.03230752368429277
331,331314,0.004027382819720155,0.026478716531476564,0.2,0.021988449789125283,6892838842.511495,0.0,0.0,0.021988449789125283,0.0
331,33131B,0.14590208364999002,0.1209757016725289,0.2,0.12596097806802115,39485672277.69691,0.19064093529883858,7527585493.92356,0.12596097806802115,0.06683154763157942
331,331410,0.04777624046788792,0.04602594932165674,0.2,0.04637600755090298,14537739098.167995,0.11555710375140088,1679939025.277796,0.04637600755090298,0.014914865474013068
331,331420,0.027046945346946374,0.09842706912640872,0.2,0.08415104437051625,26379285162.788963,0.07301871038347525,1926181383.4247932,0.08415104437051625,0.017101058895621864
331,331490,0.02874786593180477,0.06305182686095757,0.2,0.05619103467512702,17614508986.49429,0.13641283291170644,2402845071.1963973,0.05619103467512702,0.02133298319316286
331,331510,0.05230566679316477,0.07680712080970498,0.2,0.07190683000639694,22541024749.961735,0.11356946663482526,2559972158.2555494,0.07190683000639694,0.022727991780110392
331,331520,0.04046807713166194,0.057372047950613736,0.2,0.05399125378682338,16924931717.6405,0.1658424117615503,2806871494.9530582,0.05399125378682338,0.024920018000739123
332,332114,0.0012903354708323537,0.01961039148579763,0.2,0.015946380282804574,6302573771.186542,0.05249476259806359,330852113.8752199,0.015946380282804574,0.027051777282972294
332,332119,0.03860691315617375,0.03242790509610247,0.2,0.03366370670811673,13305088125.1264,0.025340905223254252,337162977.1658737,0.03366370670811673,0.02756777842379148
332,33211A,0.045906851056567076,0.037427255267224076,0.2,0.03912317442509268,15462862957.246525,0.09869362752040918,1526086037.1016214,0.03912317442509268,0.12477882975200445
